Iteration,k,NumSubPops,Migration,InnovationRate,Ones_Mean,Ones_Lower,Ones_Upper,Twos_Mean,Twos_Lower,Twos_Upper,Richness_Mean,Richness_Lower,Richness_Upper,Fst_mean,Fst_Lower,Fst_Upper
0,2,200,0.001,0,2.333333333,-1.4612497,6.127916367,4.333333333,-0.837811679,9.504478346,42.33333333,33.6093284,51.05733827,,,
1,2,200,0.001,0.001,94.66666667,76.69597194,112.6373614,39.33333333,34.16218832,44.50447835,165.6666667,151.985103,179.3482304,,,
2,2,200,0.005,0,0.333333333,-1.100884243,1.76755091,0.666666667,-0.76755091,2.100884243,25,22.51586229,27.48413771,,,
3,2,200,0.005,0.001,37,32.03172458,41.96827542,19.66666667,15.87208363,23.4612497,111,95.88958021,126.1104198,,,
4,2,200,0.01,0,0,0,0,0,0,0,18.66666667,9.942661731,27.3906716,,,
5,2,200,0.01,0.001,34.33333333,8.47760827,60.1890584,16.33333333,13.46489818,19.20176849,99.33333333,61.1443446,137.5223221,,,
6,25,200,0.001,0,0,0,0,0,0,0,9.666666667,3.92979636,15.40353697,,,
7,25,200,0.001,0.001,24.33333333,-0.174587359,48.84125403,9,0.043314105,17.9566859,80.66666667,52.96732441,108.3660089,,,
8,25,200,0.005,0,0,0,0,0,0,0,6,3.515862288,8.484137712,,,
9,25,200,0.005,0.001,16.66666667,15.23244909,18.10088424,7.666666667,1.415057187,13.91827615,67.33333333,63.5387503,71.12791637,,,
10,25,200,0.01,0,0,0,0,0,0,0,6.666666667,3.798231513,9.53510182,,,
11,25,200,0.01,0.001,13.66666667,3.62714363,23.7061897,4.666666667,1.798231513,7.53510182,68,56.6162509,79.3837491,,,
12,100,200,0.001,0,0,0,0,0,0,0,6.333333333,2.5387503,10.12791637,,,
13,100,200,0.001,0.001,19.33333333,13.59646303,25.07020364,5.666666667,-0.584942813,11.91827615,75,55.59826424,94.40173576,,,
14,100,200,0.005,0,0,0,0,0,0,0,5,0.031724576,9.968275424,,,
15,100,200,0.005,0.001,10,-3.144821216,23.14482122,4.333333333,-0.837811679,9.504478346,66,37.35152634,94.64847366,,,
16,100,200,0.01,0,0,0,0,0,0,0,5,5,5,,,
17,100,200,0.01,0.001,9,1.547586864,16.45241314,3.666666667,2.23244909,5.100884243,67.66666667,59.68128115,75.65205218,,,
18,2,200,0.0001,0,23.6,18.58699785,28.61300215,19.6,13.67113567,25.52886433,76,72.07351368,79.92648632,0.992205603,0.987335364,0.997075842
19,2,200,0.0025,0,1,0.122010967,1.877989033,1.8,0.181068215,3.418931785,31.8,26.28891382,37.31108618,0.954099061,0.941198551,0.966999572
20,2,200,0.0005,0,7,4.677059365,9.322940635,11,8.516672004,13.483328,56.4,52.61343372,60.18656628,0.976440432,0.967386549,0.985494314
21,2,200,0.001,0,2.8,0.411611612,5.188388388,8,5.088039807,10.91196019,47.2,45.35831467,49.04168533,0.972415594,0.961096248,0.98373494
22,2,200,0.0025,0,1.2,-0.160174761,2.560174761,2.2,-0.188388388,4.588388388,34,31.84937487,36.15062513,0.956530473,0.944643959,0.968416988
23,2,200,0.005,0,0,0,0,0.6,-0.080087381,1.280087381,24.8,22.75973786,26.84026214,0.933844656,0.921758636,0.945930676
24,10,200,0.0001,0,8,5.516672004,10.483328,8.2,5.108281578,11.29171842,50.6,45.90460527,55.29539473,0.960690993,0.945094534,0.976287452
25,10,200,0.0025,0,0.2,-0.355289021,0.755289021,0,0,0,10.4,8.516923312,12.28307669,0.698818093,0.671098129,0.726538057
26,10,200,0.0005,0,1,0.122010967,1.877989033,1.8,0.181068215,3.418931785,23.6,20.87965048,26.32034952,0.882680125,0.859246054,0.906114197
27,10,200,0.001,0,0,0,0,0,0,0,17.4,15.32229873,19.47770127,0.794311592,0.757595248,0.831027935
28,10,200,0.0025,0,0,0,0,0.2,-0.355289021,0.755289021,10.2,9.161149366,11.23885063,0.711773058,0.688454394,0.735091722
29,10,200,0.005,0,0,0,0,0.2,-0.355289021,0.755289021,9.4,7.984285223,10.81571478,0.566319808,0.517179404,0.615460212
30,25,200,0.0001,0,5,3.758336002,6.241663998,2.6,0.716923312,4.483076688,33.8,30.96857045,36.63142955,0.904061093,0.882987573,0.925134614
31,25,200,0.0025,0,0,0,0,0.2,-0.355289021,0.755289021,8.2,6.839825239,9.560174761,0.323075458,0.288757062,0.357393854
32,25,200,0.0005,0,0,0,0,0,0,0,12.4,10.14440533,14.65559467,0.699514915,0.667130818,0.731899011
33,25,200,0.001,0,0.2,-0.355289021,0.755289021,0,0,0,9.2,8.161149366,10.23885063,0.570123874,0.506754405,0.633493343
34,25,200,0.0025,0,0,0,0,0,0,0,7.6,6.919912619,8.280087381,0.313723851,0.276682874,0.350764828
35,25,200,0.005,0,0,0,0,0,0,0,6.2,5.161149366,7.238850634,0.180539107,0.150450317,0.210627898
36,30,200,0.0001,0,2.2,1.161149366,3.238850634,3.4,1.984285223,4.815714777,29.6,25.3347441,33.8652559,0.878918221,0.85686151,0.900974932
37,30,200,0.0025,0,0,0,0,0,0,0,7.2,4.978843916,9.421156084,0.268454804,0.246661732,0.290247876
38,30,200,0.0005,0,0,0,0,0.6,-0.510578042,1.710578042,11.6,8.879650477,14.32034952,0.624715316,0.593264186,0.656166446
39,30,200,0.001,0,0,0,0,0,0,0,8.8,6.411611612,11.18838839,0.450600176,0.426532995,0.474667357
40,30,200,0.0025,0,0,0,0,0.2,-0.355289021,0.755289021,6,2.488043868,9.511956132,0.260594392,0.2090214,0.312167385
41,30,200,0.005,0,0,0,0,0,0,0,7,5.479278386,8.520721614,0.144859431,0.113305106,0.176413756
42,50,200,0.0001,0,1.4,0.289421958,2.510578042,1.2,0.161149366,2.238850634,19.8,17.25534603,22.34465397,0.798784523,0.781262925,0.81630612
43,50,200,0.0025,0,0,0,0,0,0,0,7.2,5.159737858,9.240262142,0.13169888,0.124435923,0.138961838
44,50,200,0.0005,0,0,0,0,0,0,0,9.4,8.719912619,10.08008738,0.463602422,0.437238392,0.489966452
45,50,200,0.001,0,0,0,0,0.4,-0.280087381,1.080087381,8.4,5.162136431,11.63786357,0.287772823,0.267421818,0.308123827
46,50,200,0.0025,0,0,0,0,0,0,0,6.8,4.759737858,8.840262142,0.143999872,0.129114465,0.158885278
47,50,200,0.005,0,0,0,0,0,0,0,6.6,5.919912619,7.280087381,0.069914554,0.064429734,0.075399374
48,75,200,0.0001,0,1.2,-0.418931785,2.818931785,0,0,0,16.8,14.1081366,19.4918634,0.73775907,0.727212086,0.748306054
49,75,200,0.0025,0,0,0,0,0,0,0,6.8,5.439825239,8.160174761,0.090368894,0.084250214,0.096487575
50,75,200,0.0005,0,0,0,0,0,0,0,8.6,7.489421958,9.710578042,0.346957238,0.33979165,0.354122827
51,75,200,0.001,0,0,0,0,0,0,0,6.4,3.979551273,8.820448727,0.204914537,0.192539433,0.21728964
52,75,200,0.0025,0,0,0,0,0,0,0,6,4.479278386,7.520721614,0.093074984,0.090022739,0.096127229
53,75,200,0.005,0,0,0,0,0,0,0,5.6,4.919912619,6.280087381,0.046778072,0.042380079,0.051176065
54,100,200,0.0001,0,0,0,0,0.2,-0.355289021,0.755289021,12.6,10.52229873,14.67770127,0.649527867,0.628477514,0.67057822
55,100,200,0.0025,0,0,0,0,0,0,0,5.8,4.761149366,6.838850634,0.068213709,0.062204534,0.074222883
56,100,200,0.0005,0,0,0,0,0.2,-0.355289021,0.755289021,6.2,4.159737858,8.240262142,0.288325273,0.267935698,0.308714848
57,100,200,0.001,0,0,0,0,0,0,0,7.8,6.439825239,9.160174761,0.167034415,0.154667712,0.179401118
58,100,200,0.0025,0,0,0,0,0,0,0,6.6,4.344405334,8.855594666,0.065579527,0.059859665,0.071299389
59,100,200,0.005,0,0,0,0,0,0,0,4.8,3.761149366,5.838850634,0.035236644,0.033006678,0.037466611
60,125,200,0.0001,0,0.2,-0.355289021,0.755289021,0.2,-0.355289021,0.755289021,11.4,8.045208615,14.75479138,0.616148739,0.600449625,0.631847853
61,125,200,0.0025,0,0,0,0,0,0,0,5.6,4.919912619,6.280087381,0.051655006,0.046410471,0.056899542
62,125,200,0.0005,0,0,0,0,0.2,-0.355289021,0.755289021,6.2,4.839825239,7.560174761,0.240040839,0.219051784,0.261029895
63,125,200,0.001,0,0,0,0,0,0,0,5.8,3.958314667,7.641685333,0.128172822,0.123703248,0.132642396
64,125,200,0.0025,0,0,0,0,0.2,-0.355289021,0.755289021,6.6,5.184285223,8.015714777,0.054476463,0.049381091,0.059571836
