Iteration,k,NumSubPops,Migration,InnovationRate,Ones_Mean,Ones_Lower,Ones_Upper,Twos_Mean,Twos_Lower,Twos_Upper,Richness_Mean,Richness_Lower,Richness_Upper,Fst_Mean,Fst_Lower,Fst_Upper
0,5,200,0.0001,0.0,19.2,16.36857044603545,22.03142955396455,13.6,7.354541173283208,19.84545882671679,69.6,66.60967710610959,72.5903228938904,0.9848988058416015,0.9813796212532307,0.9884179904299722
1,5,200,0.0025,0.0,0.4,-0.280087380658257,1.0800873806582572,0.6,-0.08008738065825705,1.280087380658257,20.0,17.677059364614806,22.322940635385194,0.8996663229249219,0.8770458198063772,0.9222868260434666
2,5,200,0.0005,0.0,2.6,0.7169233116515581,4.483076688348442,2.6,1.1842852230177252,4.015714776982275,38.4,35.979551272830925,40.82044872716907,0.9569297357104943,0.9543842243952017,0.959475247025787
3,5,200,0.001,0.0,1.4,-0.6777012673671394,3.4777012673671392,2.2,0.8398252386834864,3.560174761316514,30.6,26.07175507034013,35.12824492965987,0.9411678727335101,0.9164794601374553,0.9658562853295649
4,5,200,0.0025,0.0,0.2,-0.3552890210395598,0.7552890210395597,0.4,-0.7105780420791196,1.5105780420791195,20.0,16.83436552191668,23.16563447808332,0.8974674045631996,0.8830002122805684,0.9119345968458309
5,5,200,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,10.986032429268002,17.413967570731995,0.8735168085726819,0.8617122323148655,0.8853213848304983
6,10,200,0.0001,0.0,9.0,5.488043867659663,12.511956132340337,9.4,7.322298732632861,11.47770126736714,50.4,45.235513570476556,55.56448642952344,0.9667678737845182,0.9589136721792073,0.9746220753898291
7,10,200,0.0025,0.0,0.0,0.0,0.0,0.2,-0.3552890210395598,0.7552890210395597,11.0,7.172934531245128,14.827065468754872,0.7068355611708672,0.6503757408635439,0.7632953814781905
8,10,200,0.0005,0.0,0.6,-0.08008738065825705,1.280087380658257,0.8,0.24471097896044014,1.3552890210395598,25.0,24.122010966914914,25.877989033085086,0.8754180997751911,0.863365935483595,0.8874702640667873
9,10,200,0.001,0.0,0.8,0.24471097896044036,1.3552890210395598,0.2,-0.3552890210395599,0.75528902103956,15.4,12.162136430582589,18.637863569417412,0.8173772489287938,0.7797617049249399,0.8549927929326477
10,10,200,0.0025,0.0,0.0,0.0,0.0,0.2,-0.3552890210395599,0.75528902103956,9.6,6.132221175075344,13.067778824924655,0.6890552973435776,0.6326591837555035,0.7454514109316518
11,10,200,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,7.5810682152912925,10.818931784708706,0.5671940629435152,0.49162928308289644,0.6427588428041339
12,15,200,0.0001,0.0,6.6,4.025230732070918,9.174769267929081,6.2,4.581068215291294,7.818931784708706,46.0,43.677059364614806,48.322940635385194,0.9467427469609924,0.9379818378445637,0.955503656077421
13,15,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,6.716923311651558,10.483076688348442,0.5580269489017446,0.4893561016616647,0.6266977961418245
14,15,200,0.0005,0.0,0.4,-0.280087380658257,1.0800873806582572,1.8,0.1810682152912937,3.4189317847087066,19.2,15.986032429268002,22.413967570731995,0.8282699080892304,0.8068487085945801,0.8496911075838807
15,15,200,0.001,0.0,0.2,-0.3552890210395599,0.75528902103956,0.4,-0.280087380658257,1.0800873806582572,14.0,12.479278386208362,15.520721613791638,0.7217525735887694,0.71146838253298,0.7320367646445589
16,15,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.479278386208362,9.520721613791638,0.5791006233326816,0.527169119025241,0.6310321276401223
17,15,200,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,6.289421957920881,8.51057804207912,0.4169815312685546,0.36316474844763974,0.4707983140894694
18,20,200,0.0001,0.0,4.4,1.5414748090129726,7.258525190987028,4.8,2.9583146670080147,6.641685332991985,36.8,32.64459746526572,40.955402534734276,0.9243535647858483,0.9203398613403636,0.928367268231333
19,20,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,4.508136597662094,9.891863402337906,0.4096358056911974,0.3709652528820131,0.4483063585003817
20,20,200,0.0005,0.0,0.0,0.0,0.0,0.2,-0.3552890210395599,0.75528902103956,13.4,11.734132936881322,15.065867063118679,0.7486351742539818,0.7209058996343467,0.776364448873617
21,20,200,0.001,0.0,0.0,0.0,0.0,0.2,-0.3552890210395599,0.75528902103956,11.0,9.03675683852244,12.96324316147756,0.6298280032555466,0.5722137284222584,0.6874422780888347
22,20,200,0.0025,0.0,0.0,0.0,0.0,0.2,-0.3552890210395599,0.75528902103956,7.6,6.919912619341742,8.280087380658257,0.4071427538426571,0.3641330941380783,0.45015241354723584
23,20,200,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,5.581068215291294,8.818931784708706,0.2401624613085577,0.19480596250318813,0.2855189601139273
24,25,200,0.0001,0.0,3.6,1.3444053337009558,5.855594666299044,2.6,0.9341329368813209,4.265867063118679,32.6,30.522298732632862,34.67770126736714,0.9029359957422131,0.8894988283480877,0.9163731631363384
25,25,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,3.5081365976620944,8.891863402337906,0.308780876244679,0.2819684686929131,0.3355932837964449
26,25,200,0.0005,0.0,0.0,0.0,0.0,0.4,-0.280087380658257,1.0800873806582572,13.4,11.516923311651558,15.283076688348443,0.708659602825561,0.6924150250794064,0.7249041805717155
27,25,200,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,8.159737858025228,12.240262141974771,0.5378628282173523,0.5188114528295754,0.5569142036051292
28,25,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,5.516923311651559,9.283076688348443,0.30975084742025677,0.2771443980480014,0.34235729679251214
29,25,200,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,4.759737858025229,8.84026214197477,0.1882217927186512,0.16037480824678216,0.21606877719052023
30,30,200,0.0001,0.0,1.6,0.4894219579208807,2.7105780420791197,2.8,1.1810682152912935,4.418931784708706,28.6,26.17955127283093,31.02044872716907,0.8849870530147396,0.870444574861928,0.8995295311675511
31,30,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,6.439825238683486,9.160174761316513,0.24819896055893337,0.19461412961666338,0.3017837915012034
32,30,200,0.0005,0.0,0.2,-0.3552890210395598,0.7552890210395597,0.0,0.0,0.0,12.0,10.03675683852244,13.96324316147756,0.6141098369095974,0.5897812129825646,0.6384384608366303
33,30,200,0.001,0.0,0.0,0.0,0.0,0.2,-0.3552890210395599,0.75528902103956,8.2,6.358314667008014,10.041685332991984,0.43639696832610725,0.42793395604839685,0.44485998060381765
34,30,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,3.719912619341743,5.080087380658258,0.23958032743801957,0.2130057292372032,0.26615492563883597
35,30,200,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,3.516923311651559,7.283076688348442,0.14541435158722726,0.12258431314358192,0.1682443900308726
36,35,200,0.0001,0.0,2.2,1.1611493663164305,3.23885063368357,2.2,0.5810682152912938,3.8189317847087065,27.4,25.516923311651556,29.28307668834844,0.8669237948747195,0.8584116298652376,0.8754359598842014
37,35,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,4.919912619341742,6.280087380658257,0.20705283561226834,0.1911639272127336,0.22294174401180308
38,35,200,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,8.578843915841762,13.021156084158239,0.5925426044565715,0.5687093236373306,0.6163758852758123
39,35,200,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,5.108136597662094,10.491863402337906,0.40872223757328896,0.36682504231504315,0.45061943283153477
40,35,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,5.181068215291294,8.418931784708706,0.20424821652570047,0.18792156667075455,0.22057486638064638
41,35,200,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,2.734132936881321,6.065867063118679,0.12091099045442182,0.10971704209586898,0.13210493881297464
42,40,200,0.0001,0.0,0.2,-0.3552890210395599,0.75528902103956,2.4,1.2894219579208805,3.5105780420791195,21.2,17.986032429268004,24.413967570731995,0.8473851496028539,0.8275945968330952,0.8671757023726127
43,40,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,5.289421957920881,7.5105780420791195,0.1752970490068444,0.1613401877455764,0.1892539102681124
44,40,200,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,6.83556783493338,12.764432165066621,0.5379570732759497,0.5116267221637429,0.5642874243881564
45,40,200,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,5.159737858025229,9.240262141974771,0.36423794630801587,0.33297192122144914,0.3955039713945826
46,40,200,0.0025,0.0,0.0,0.0,0.0,0.2,-0.3552890210395599,0.75528902103956,6.2,4.358314667008015,8.041685332991985,0.18943525687986998,0.14770971275520836,0.2311608010045316
47,40,200,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,4.581068215291294,7.818931784708706,0.09510676450929,0.08401829353814216,0.10619523548043783
48,45,200,0.0001,0.0,1.8,-0.7446539714917086,4.3446539714917085,0.8,-0.23885063368356962,1.8388506336835697,23.0,21.03675683852244,24.96324316147756,0.8251758393375128,0.8134830031429561,0.8368686755320696
49,45,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,3.516923311651559,7.283076688348442,0.15874574009042228,0.15215013158757532,0.16534134859326924
50,45,200,0.0005,0.0,0.0,0.0,0.0,0.2,-0.3552890210395599,0.75528902103956,8.8,7.439825238683487,10.160174761316515,0.49940402620161556,0.4691453919650251,0.5296626604382061
51,45,200,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.849374869181966,10.150625130818035,0.32594660474036363,0.3089222338693845,0.34297097561134277
52,45,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,4.289421957920881,6.5105780420791195,0.15484073540960458,0.13156914653037366,0.1781123242888355
53,45,200,0.005,0.0,0.0,0.0,0.0,0.2,-0.3552890210395599,0.75528902103956,5.8,4.181068215291294,7.418931784708706,0.08072451032183868,0.07470433088225947,0.08674468976141789
